id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
52955850,Private Room- TINY w/ Shared Bathroom- 1st Floor,123468144,Wish,Rainier Valley,Rainier Beach,47.513054,-122.270569,Private room,35,1,24,12/9/2022,2.15,15,332,24,STR-OPLI-21-001345
53243136,Cozy Mother In Law Suite in Residential Ballard,77936783,Matt,Ballard,Whittier Heights,47.68853,-122.37328,Entire home/apt,80,2,37,11/18/2022,3.06,1,18,37,STR-OPLI-21-001258
53435141,Cozy + Artsy City Studio on First Hill,25721147,Kelley,Downtown,Yesler Terrace,47.60602,-122.32177,Entire home/apt,70,30,3,9/6/2022,0.31,1,37,3,
53247032,Bright & Clean 3br Queen Anne Townhouse | Sophari,314324381,Sophari,Queen Anne,West Queen Anne,47.63922,-122.37476,Entire home/apt,208,1,24,12/3/2022,2,30,357,24,STR-OPLI-21-001240
53436846,SPACIOUSHOME 2K🛏2Q🛁3.5BATH💫FASTWIFI*LOCATION10/10!,432675332,Thang,Rainier Valley,Brighton,47.53567,-122.27766,Entire home/apt,300,2,29,11/26/2022,2.27,5,320,28,STR-OPLI-21-001318
52966741,Historic 2BR Apt in ❤️ of DT Seattle Free Parking+99 WalkScore,217106838,Ashlie,Downtown,Belltown,47.615368,-122.341354,Entire home/apt,167,2,74,9/29/2022,5.43,1,297,68,STR-OPLI-21-001073
53249808,"SLU 2BR w/ W/D, Club Room & Gym, nr Space Needle",107434423,Blueground,Cascade,South Lake Union,47.62258,-122.33548,Entire home/apt,274,31,0,,,410,43,0,
52992504,Inky is a cozy & artistic home with a fireplace,29415509,Marcella,Other neighborhoods,Phinney Ridge,47.68159,-122.36403,Entire home/apt,215,2,30,12/21/2022,2.41,1,302,28,STR-OPLI-21-001139
52995284,"7 BDRM Top Queen Anne Craftsman House, 5 min 2 DT",7435040,Chengying,Queen Anne,West Queen Anne,47.63926,-122.3596,Entire home/apt,305,1,29,12/19/2022,2.57,22,300,29,STR-OPLI-19-003321
53454924,ML2-Large Private bedroom SW Seattle,13701143,Ali,Delridge,Riverview,47.53865,-122.35374,Private room,38,30,33,7/5/2022,2.55,15,175,32,STR-OPLI-19-000353
53249943,Eco built Crown Hill Townhouse - 85 Walkscore .,340706410,Vince,Other neighborhoods,Crown Hill,47.6916,-122.38128,Entire home/apt,163,1,83,12/4/2022,6.24,47,327,76,STR-OPLI-21-001288
53462396,Quiet Seattle Condo - 10min Walk to Space Needle,92529203,Arivany,Queen Anne,East Queen Anne,47.62964,-122.34371,Entire home/apt,133,3,58,12/12/2022,4.45,1,253,56,STR-OPLI-21-001213
53463556,Bright Morning Suite on Alki Beach,20339860,Yumi,West Seattle,North Admiral,47.58017,-122.40193,Private room,67,1,66,11/20/2022,5.06,2,50,61,STR-OPLI-21-000317
52996562,Entire 1B1B Guest Suite in Quiet NE NBHD,36381569,Alex,Lake City,Meadowbrook,47.70517,-122.29449,Entire home/apt,113,2,37,11/20/2022,5.29,1,179,37,STR-OPLI-22-000784
